Artikelnr.;EAN;Beschreibung;Beschreibung 2;Bestand;Preis
12323010;6933882555273;10x 2.25 ,4PR,;CST, CM-531;40;8,2
12323110;6933882548145;10x 2.50 (60/80-6), 11B, #E, 4PR, TT,;CST, C-9336;40;8,96
12324010;6933882586444;2.50 - 6, 4PR,;CST, C-177, grau;25;8,12
12324570;6933882586451;3.00 - 6, 4PR,;CST, C-917, grau;40;13,17
12324610;6933882532779;3.50 - 6, 4PR, TL,;CST, CM-531;40;15
12326010;6933882586598;4.10/3.50 - 6, 4PR,;CST, C-156, grau;40;11,54
12326210;6933882586604;4.10/3.50 - 6, 4PR,;CST, C-168, grau;40;12,07
12326212;6933882555211;4.10/3.50 - 6, 4PR, Pannenschutz,;CST, C-168, grau;40;12,99
12326310;6933882586611;4.10/3.50 - 6, 4PR,;CST, C-178, grau;40;12,15
12327000;4717784700861;5.30/4.50 - 6, 4PR,;CST, C-166;40;15,39
12327010;6933882586666;5.30/4.50 - 6, 4PR,;CST, C-166, grau;40;15,39
12328040;6933882558809;10x 2.50 - 6.5, 4PR, TL,;CST, CM-531;40;8
12328050;6933882555303;90/65 - 6.5, 42B, #E, 4PR, TT,;CST, C-9316;0;12,99
12328070;6933882555297;90/65 - 6.5, 42B, #E, 4PR, TT,;CST, C-858;22;12,62
12330010;6933882586697;13x 5.00 - 6, 4PR,;CST, C-165, grau;5;15,2
12330012;6933882555228;13x 5.00 - 6, 4PR, Pannenschutz,;CST, C-165, grau;15;15,92
12336000;6933882586925;2.50 - 8, 4PR,;CST, C-177, grau;40;12,99
12336610;6933882586987;3.00 - 8, 2PR,;CST, C-179N, grau;6;11,84
12337005;6933882586963;3.00 - 8, 4PR,;CST, C-248;40;15,99
12337011;6933882586994;3.00 - 8, 4PR,;CST, C-248, grau;40;14,18
12337013;6933882555235;3.00 - 8, 4PR, Pannenschutz,;CST, C-248, grau;17;15,03
12337023;6933882555532;3.00 - 8, 4PR, Pannenschutz,;CST, C-248, non marking;32;16,17
12337408;6933882556201;3.00 - 8, 4PR, Pannenschutz,;CST, C-917G, non marking;40;15,78
12337415;4717784507255;3.00 - 8, 4PR,;CST, C-917F, grau;40;14,18
12337417;6933882555242;3.00 - 8, 4PR, Pannenschutz,;CST, C-917G, grau;40;15,03
12340001;6933882587052;3.50 - 8, 4PR,;CST, C-168, grau;40;14,18
12340450;6933882587243;12.5x 2.50 - 8, 4PR,;CST, C-907-2;40;5,15
12348010;6933882587106;4.00 - 8, 4PR,;CST, C-168, grau;40;18,99
12348020;4717784700137;4.00 - 8, 4PR,;CST, C-168;1;15,39
12359010;6933882584693;3.00 - 10, 4PR,;CST, C-131, grau;40;21,16
12359103;6933882556218;3.00 - 10, 4PR, Pannenschutz,;CST, C-917, non marking;6;22,9
12359110;4717784507286;3.00 - 10, 4PR,;CST, C-917, grau;0;20,19
12359113;6933882556225;3.00 - 10, 4PR, Pannenschutz,;CST, C-917, grau;0;21,8
12359120;6933882558588;3.00 - 10, 42J, #E, TL,;CST, C-922K;9;17,4
12392000;6933882585539;200x 50, 4PR,;CST, C-179;40;5,29
12392010;6933882585546;200x 50, 4PR,;CST, C-179, grau;40;5,99
12393000;6933882544215;8 1/2x 2, 2PR,;CST, C-9287;40;7,5
12393005;6933882556140;8 1/2x 2, 2PR,;CST, C-9361;40;7,5
12394010;6933882585560;200x 50, 4PR,;CST, C-968, grau;40;6,8
12394020;6933882555266;200x 50, 4PR,;CST, C-9349;16;6,25
13010029;6933882545748;Schlauch 6x 1 1/4,;Ventil WH767 PA45 #;40;3,31
13015040;6933882584716;Schlauch 7x 1 3/4,;Ventil WH767 PA30;40;3,55
13020030;6933882584747;Schlauch 8x 1 1/4,;Ventil WH767 PA45;40;3,01
13020040;6933882546912;Schlauch 8x 1 1/4,;Ventil WH767 PA30;40;3,01
13030000;6933882584792;Schlauch 10x 2.00 (2.00-6),;Schraderventil;40;4,09
13030030;6933882590809;Schlauch 10x 2.00 (2.00-6),;Ventil WH767;40;3,85
13040000;6933882571723;Schlauch 12 1/2x 2 1/4,;Schraderventil;40;3,31
13040010;6933882571747;Schlauch 12 1/2x 2 1/4,;Dunlopventil;40;3,31
13040020;4717784028224;Schlauch 12 1/2x 2 1/4,;Ventil WH767;40;3,85
13040030;6933882561830;Schlauch 12 1/2x 2 1/4,;Ventil TR87;40;3,31
13040060;6933882570023;Schlauch 12 1/2x 2 1/4,;Ventil JS87 PA90;0;3,42
13040080;6933882571716;Schlauch 12 1/2x 2 1/4,;Ventil TR87-35R A90 (90?/60?);40;3,67
13070505;6933882571785;Schlauch 16x 1.90/2.125,;Schraderventil;40;3,37
13094000;6933882572072;Schlauch 20x 1,;Schraderventil;40;3,78
13095000;6933882571822;Schlauch 20x 1 3/8,;Schraderventil;40;3,37
13101500;6933882572089;Schlauch 20x 1.75/1.90/1.95/2.125,;Schraderventil;40;3,42
13118000;6933882572133;Schlauch 22x 1,;Schraderventil;40;3,85
13119000;6933882571839;Schlauch 22x 1 3/8 (37-489/501),;Schraderventil;40;3,31
13122510;6933882570009;Schlauch 24x 1 (25-540/541),;Schraderventil;9;4,27
13125000;6933882571860;Schlauch 24x 1 1/4x 1 3/8,;Schraderventil;40;2,88
13135000;6933882567672;Schlauch 24x 1.50 / 1.75,;Schraderventil;40;3,43
13137000;4717784028248;Schlauch 25-559 (markiert 26x1 thin),;Schraderventil;40;4,45
13149000;4717784028255;Schlauch 26x 1 (25-590),;Schraderventil;40;5,29
13150500;6933882571877;Schlauch 26x 1 3/8,;Schraderventil;40;3,42
13321050;6933882584945;Schlauch 4.10/3.50 - 5,;Ventil TR87;40;4,75
13324000;6933882584969;Schlauch 10x 3.00 - 6,;Ventil TR87;40;4,09
13326050;6933882584990;Schlauch 4.10/3.50 - 6,;Ventil TR87;40;4,75
13328030;6933882555686;Schlauch 90/65 - 6.5,;Ventil DIN7777;40;3,73
13337050;6933882585072;Schlauch 3.00 - 8,;Ventil TR87 (90?/90?);40;4,75
13337060;6933882591035;Schlauch 3.00 - 8,;Ventil TR13;40;5,29
13337250;6933882597594;Schlauch 12.5x 4.00 - 8,;Ventil TR87;40;4,99
13390079;6933882591165;Schlauch 2.00/2.25 - 16 (20x2),;Ventil TR6;40;6,15
13392020;6933882584778;Schlauch 200x 50 / 7x 1 3/4,;Ventil WH767;40;3,31
13392040;6933882590786;Schlauch 200x 50 / 7x 1 3/4,;Ventil WH767 A30;40;3,31
13392091;6933882584785;Schlauch 200x 50 / 7x 1 3/4,;Ventil WH 758 A0;40;3,31
13393000;6933882545069;Schlauch 8 1/2x 2,;Ventil C3E25;40;3,13
13393010;6933882555518;Schlauch 9x 2 (230x50),;Ventil CR201-25R-70 A45;40;3,13
13401500;6933882572355;Felgenband 20,;12 mm breit;40;0,37
13425000;6933882572379;Felgenband 24,;12 mm breit;10;0,37
13450000;6933882572386;Felgenband 26,;12 mm breit;14;0,37
16102309;6933882526600;24x 1 (25-540),;VN Master, Lite Guard;40;7,82
16105590;6933882526150;24x 1 (25-540),;VN Master, Alpha Protect;40;14,74
16105600;6933882532250;25x 1 (25-559),;VN Master, Alpha Protect;40;14,74
16105610;6933882532243;26 x1 (25-590),;VN Master, Alpha Protect;40;14,74
16105690;6933882526587;22x 1 (25-489),;VN Master, Alpha Protect;40;14,18
31312950;6933882585706;Set 2.50 - 4, 2PR,;CST, C-179, JS87PA25;0;8
31312970;6933882540927;Set 2.50 - 4, 2PR,;CST, C-179, DIN7777 28C32;40;8,5
31313000;6933882540934;Set 2.50 - 4, 2PR,;CST, C-202, DIN7777 28C32;40;8,5
31313010;6933882541313;Set 2.50 - 4, 2PR,;CST, C-202, JS87PA25;40;8,8
31313020;6933882540941;Set 2.50 - 4, 4PR,;CST, C-202, DIN7777 28C32;7;8,5
31314000;6933882540958;Set 3.00 - 4 (260x85), 2PR,;CST, C-179N, DIN7777 28C32;0;8
31314005;6933882541320;Set 3.00 - 4 (260x85), 2PR,;CST, C-179N, JS87PA25;40;8,11
31314010;6933882540965;Set 3.00 - 4 (260x85), #E, 4PR,;CST, C-179N, DIN7777 28C32;40;8,35
31314480;6933882540972;Set 3.00 - 4 (260x85), 2PR,;CST, C-248, DIN7777 28C32;40;8,6
31314490;6933882541344;Set 3.00 - 4 (260x85), 2PR,;CST, C-248, JS87PA25;0;8,86
31314510;6933882540989;Set 3.00 - 4 (260x85), 4PR,;CST, C-248, DIN7777 28C32;19;9
31314550;6933882540996;Set 3.00 - 4 (260x85), 6PR,;CST, C-248, DIN7777 28C32;40;9,5
31314620;6933882541009;Set 3.00 - 4, 4PR,;Maxxis, M-9230-2, DIN7777 28C32;40;14,61
31314651;6933882541368;Set 3.00 - 4 (260x85), 2PR,;Transport-Maxx, C-9255, DIN7777;40;7,8
31316500;6933882541245;Set 4.00 - 4, 2PR,;CST, C-179N, DIN7777 28C32;40;8,35
31316510;6933882541016;Set 4.00 - 4, 4PR,;CST, C-179N, DIN7777 28C32;40;9,07
31316520;6933882541023;Set 4.00 - 4, 6PR,;CST, C-179N, DIN7777 28C32;40;13,5
31316590;6933882541030;Set 4.00 - 4, 2PR,;CST, C-248, DIN7777 28C32;30;11,5
31316600;6933882541047;Set 4.00 - 4, 4PR,;CST, C-248, DIN7777 28C32;40;12
31316700;6933882541054;Set 4.00 - 4, 6PR,;CST, C-248, DIN7777 28C32;40;15
31319500;4717784801155;Set 11x 7.00 - 4, 4PR,;Maxxis, C-737, TR87;0;32,93
31331830;6933882541269;Set 13x 6.50 - 6, 4PR,;CST, C-737, TR13;40;17,77
31334044;6933882541115;Set 15x 6.00 - 6 (150/70-6), 62B, #E, 6PR,;CST, C-737, TR13;40;17,99
31334145;6933882541276;Set 15x 6.00 - 6 (155/70-6), 72B, #E, 10PR,;CST, C-737, TR13;31;21,99
31337900;6933882541122;Set 3.50 - 8 (90/105-8), 40B, #E, 4PR,;CST, C-161, TR13;40;17,99
31338020;6933882541139;Set 3.50 - 8, 2PR,;CST, C-179, TR13;40;11
31341030;6933882541146;Set 4.80/4.00 - 8, 4PR,;CST, C-156, TR13;40;17
31341520;6933882541153;Set 4.80/4.00 - 8, 2PR,;CST, C-164, TR13;23;10,5
31341530;6933882541160;Set 4.80/4.00 - 8, 4PR,;CST, C-164, TR13;40;11,54
31342040;6933882587212;Set 4.80/4.00 - 8, 70M, 6PR,;CST, Trailermaxx, C-178, TR13;40;23,9
31342520;6933882541177;Set 4.80/4.00 - 8, 2PR,;CST, C-179N, TR13;40;9
31342530;6933882541184;Set 4.80/4.00 - 8, 4PR,;CST, C-179N, TR13;40;9,86
31344001;6933882587328;Set 5.00 - 8, 77M, 6PR,;CST, Trailermaxx, C-824, TR13;40;36,2
31347441;6933882555037;Set 15.8x 6.50 - 8, 76B, #E, 10PR,;CST, C-737, TR13;40;23,08
31347541;6933882541191;Set 16x 6.50 - 8, 69B, #E,;CST, C-737, TR13;40;18,88
31347650;6933882541207;Set 16x 6.50 - 8 (165/60-8), 76B, #E, 10PR,;CST, C-737, TR13;40;24,99
31350000;6933882541214;Set 16x 9.50 - 8, 6PR, 75B, #E, 6PR,;CST, C-737, TR13;40;23,99
31350060;6933882545588;Set 16x 9.50 - 8 (230/45-8), 87B, #E, 10PR,;CST, C-737, TR13;40;30,99
31353034;6933882541221;Set 18x 8.50 - 8, 74B, #E, 6PR,;CST, C-737, TR13;40;33,36
31364021;6933882587359;Set 4.50 - 10C, 76M, 6PR,;CST, C-816, TR13;40;39,8
32311800;6933882585607;2.50 - 3 (210x65), 4PR,;CST, C-179;40;7
32311820;6933882585621;2.50 - 3 (210x65), 4PR,;CST, C-248;0;6,7
32312000;6933882585652;2.50 - 4, 2PR,;CST, C-202;40;6,8
32312010;6933882585713;2.80/2.50 - 4, 4PR,;CST, C-178;30;7,99
32314000;6933882585775;3.00 - 4, 2PR,;CST, C-179N;40;7,27
32314005;6933882545076;3.00 - 4 (260x85), 4PR,;CST, C-154;40;7,99
32314500;6933882585805;3.00 - 4, 2PR,;CST, C-248;40;7,8
32314580;6933882585843;3.00 - 4, 4PR,;Maxxis, M-9230-2;40;13,76
32316521;6933882553064;4.00 - 4, 6PR, TL,;Secura, C-179N;9;16,59
32316620;6933882547001;4.00 - 4, 6PR,;CST, C-248;0;13,76
32318661;6933882594517;4.10/3.50 - 4, 4PR,;CST, C-156;40;9
32318680;6933882586109;4.10/3.50 - 4, 4PR, TL,;CST, C-165;32;11
32318711;6933882553071;4.10/3.50 - 4, 4PR,;CST, C-178A;40;9,32
32319000;6933882586147;8x 3.00 - 4, 4PR, TL,;CST, C-165S;23;8,78
32319010;6933882586130;8x 3.00 - 4, 4PR,;CST, C-190;40;8
32319210;6933882586192;9x 3.50 - 4 (95/65-4), 27A4, #E, 4PR, TL,;CST, C-190;40;13,99
32319255;6933882586215;9x 3.50 - 4, #4, 4PR, TL,;CST, C-203;40;10
32320002;6933882586222;11x 4.00 - 4, 4PR, TL,;CST, C-165S;40;10
32320100;4717784700106;11x 7.00 - 4, 4PR,;Maxxis, C-737;40;25,61
32323951;6933882586406;11x 4.00 - 5, 2PR, TL,;CST, C-165;40;8,99
32324010;4717784700151;11x 4.00 - 5, 4PR, TL,;CST, C-737;26;8,54
32325500;6933882586550;4.00 - 6, 4PR,;CST, C-166;38;13,28
32325510;6933882586536;4.00 - 6, 4PR,;CST, C-179N;40;10
32326011;6933882586581;4.10/3.50 - 6, 4PR,;CST, C-156;0;12,5
32326211;6933882586642;4.10/3.50 - 6, 4PR,;CST, C-168;40;12,49
32326300;6933882586659;4.10/3.50 - 6 (105/80-6), 44B, #E, 4PR,;CST, C-178;40;12,7
32330000;6933882586680;13x 5.00 - 6, 2PR, TL,;CST, C-165;37;12
32330080;6933882587946;13x 5.00 - 6 (125/75-6), 46A8, #E, 4PR, TL,;CST, C-298;40;16,41
32331011;6933882586758;13x 5.00 - 6 (125/70-6), 48A6, #E, 4PR, TL,;CST, C-737;40;11,54
32331202;6933882586772;13x 5.00 - 6 (125/65-6), 48A6, #E, 4PR, TL,;CST, C-9266;40;12
32332011;6933882586826;13x 6.50 - 6, 4PR, TL,;CST, C-165;27;18,51
